Office for Lease - 9/16/2016,1,1,7677 W. Emerald St.,7677 W Emerald St,7677,Boise,Idaho,83704     ,3000 SF,1500 SF,Office for Lease - 9/16/2016,Medical Office,$1.04 /SF/Mo,$12.50 /SF/Yr,,Modified Gross,20333894,Steve Cannariato,FIELD UNAVAILABLE,stevec@hcollc.com,(208) 376-6800,Dental office with space #7677 available. Nice Floorplan  Lockbox on exterior doors. Please call listing agent for code.,http://www.loopnet.com/lid/20333894,
Central Bench,9,6,820 S. Latah Boise Idaho 83705,820 S Latah St,Alt. 2 - Space B,Boise,Idaho,83705     ,4300 SF,1500 SF,Central Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
Central Bench,9,7,820 S. Latah Boise Idaho 83705,820 S Latah St,Alt. 2 - Space C,Boise,Idaho,83705     ,4300 SF,1500 SF,Central Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
Central Bench,9,8,820 S. Latah Boise Idaho 83705,820 S Latah St,Alt. 3 - Space A,Boise,Idaho,83705     ,4300 SF,2076 SF,Central Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
Central Bench,9,9,820 S. Latah Boise Idaho 83705,820 S Latah St,Alt. 3 - Space B,Boise,Idaho,83705     ,4300 SF,2024 SF,Central Bench,Office Building,$1.08 /SF/Mo,$13 /SF/Yr,,NNN,20267620,Brian Sopatyk,Alpha Properties,judysopatyk@gmail.com,(208) 841-3045, ,http://www.loopnet.com/lid/20267620,
Central Bench,3,1,Bank Drive Office Building For Sale & Lease,2404 West Bank Drive,Suite 202,Boise,Idaho,83705     ,20728 SF,2745 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,18810507,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904,Ste 202 From 993 to 2745 RSF - $12.00/SF - Second Floor Large Open Area,http://www.loopnet.com/lid/18810507,
Central Bench,3,2,Bank Drive Office Building For Sale & Lease,2404 West Bank Drive,Suite 308,Boise,Idaho,83705     ,20728 SF,866 SF,Central Bench,Office Building,$1.01 /SF/Mo,$12.12 /SF/Yr,,Full Service,18810507,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904,Suite 308 - 866 SF - $875/Month
Suite 310 - 728 SF - $750/Month
Combined - 1594 SF - $1625/Month,http://www.loopnet.com/lid/18810507,
Central Bench,3,3,Bank Drive Office Building For Sale & Lease,2404 West Bank Drive,Suite 310,Boise,Idaho,83705     ,20728 SF,728 SF,Central Bench,Office Building,$1.03 /SF/Mo,$12.36 /SF/Yr,,Full Service,18810507,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904,Suite 308 - 866 SF - $875/Month
Suite 310 - 728 SF - $750/Month
Combined - 1594 SF - $1625/Month,http://www.loopnet.com/lid/18810507,
Central Bench,1,1,Liberty Medical Park Ste 300,900 N Liberty St,Ste. 300,Boise,Idaho,83704     ,51018 SF,2706 SF,Central Bench,Medical Office,$2.08 /SF/Mo,$24.99 /SF/Yr,,NNN,20246835,Tricia Callies,KW Commercial Real Estate,callies@mindspring.com,(208) 412-4771,Suite is located on the third floor of the St. Alphonsus building. Very well maintained suite previously occupied by a plastic surgeon and is set up for examinations and surgical procedures.,http://www.loopnet.com/lid/20246835,
Central Bench,2,1,Fully Built-Out Office Building on Interstate 84,6600 West Emerald Street,Space 1,Boise,Idaho,83704     ,8444 SF,4222 SF,Central Bench,Office Building,$1.08 /SF/Mo,$12.95 /SF/Yr,,NNN,19979030,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438, ,http://www.loopnet.com/lid/19979030,
Central Bench,2,2,Fully Built-Out Office Building on Interstate 84,6600 West Emerald Street,Space 1,Boise,Idaho,83704     ,8444 SF,4222 SF,Central Bench,Office Building,$1.08 /SF/Mo,$12.95 /SF/Yr,,NNN,19979030,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438, ,http://www.loopnet.com/lid/19979030,
Central Bench,5,1,Hillcrest Business Center 5% Leasing Commission,4696 West Overland Road,Suite 230,Boise,Idaho,83705     ,26794 SF,408 SF,Central Bench,Office Building,$0.98 /SF/Mo,$11.76 /SF/Yr,,Full Service,19547006,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904, ,http://www.loopnet.com/lid/19547006,
Central Bench,5,2,Hillcrest Business Center 5% Leasing Commission,4696 West Overland Road,Suite 210,Boise,Idaho,83705     ,26794 SF,508 SF,Central Bench,Office Building,$1.08 /SF/Mo,$12.99 /SF/Yr,,Full Service,19547006,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904, ,http://www.loopnet.com/lid/19547006,
Central Bench,5,3,Hillcrest Business Center 5% Leasing Commission,4696 West Overland Road,Suite 112,Boise,Idaho,83705     ,26794 SF,518 SF,Central Bench,Office Building,$1.06 /SF/Mo,$12.74 /SF/Yr,,Full Service,19547006,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904, ,http://www.loopnet.com/lid/19547006,
Central Bench,5,4,Hillcrest Business Center 5% Leasing Commission,4696 West Overland Road,Suite 120,Boise,Idaho,83705     ,26794 SF,688 SF,Central Bench,Office Building,$1.02 /SF/Mo,$12.21 /SF/Yr,,Full Service,19547006,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904, ,http://www.loopnet.com/lid/19547006,
Central Bench,5,5,Hillcrest Business Center 5% Leasing Commission,4696 West Overland Road,Suite 124,Boise,Idaho,83705     ,26794 SF,400 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,19547006,Chrissy Smith,FIELD UNAVAILABLE,chrissy.smith@paccra.com,(208) 287-8904, ,http://www.loopnet.com/lid/19547006,
Central Bench,1,1,1034 S La Pointe St,1034 La Pointe St,Space 1,Boise,Idaho,83706     ,2340 SF,2340 SF,Central Bench,Free Standing Bldg,$1 /SF/Mo,$12 /SF/Yr,,NNN,20213602,Jay Story CCIM,Story Commercial LLC,story@storycommercial.com,(208) 841-8320, ,http://www.loopnet.com/lid/20213602,
Central Bench,13,1,Under New Ownership Major Remodel Underway,2417 West Bank Drive,103,Boise,Idaho,83705     ,23940 SF,819 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438, ,http://www.loopnet.com/lid/18296911,
Central Bench,13,2,Under New Ownership Major Remodel Underway,2417 West Bank Drive,105,Boise,Idaho,83705     ,23940 SF,729 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438, ,http://www.loopnet.com/lid/18296911,
Central Bench,13,3,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite 107,Boise,Idaho,83705     ,23940 SF,1100 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,Suite 107 Has New Carpet and Paint,http://www.loopnet.com/lid/18296911,
Central Bench,13,4,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite 202,Boise,Idaho,83705     ,23940 SF,1288 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,SECOND FLOOR - 2 SUITES - 1513 SF UP TO 2848 @ $9.00 / SF FSEJ - Furniture within suite available for sale - negotiable Contact Agents. Inventory List Below,http://www.loopnet.com/lid/18296911,
Central Bench,13,5,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite 204,Boise,Idaho,83705     ,23940 SF,1363 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438, ,http://www.loopnet.com/lid/18296911,
Central Bench,13,6,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite 302,Boise,Idaho,83705     ,23940 SF,1553 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18296911,
Central Bench,13,7,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite 304,Boise,Idaho,83705     ,23940 SF,1100 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18296911,
Central Bench,13,8,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite B100,Boise,Idaho,83705     ,23940 SF,407 SF,Central Bench,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18296911,
Central Bench,13,9,Under New Ownership Major Remodel Underway,2417 West Bank Drive,B10,Boise,Idaho,83705     ,23940 SF,1442 SF,Central Bench,Office Building,$0.83 /SF/Mo,$10 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,Lower Level Suite with great light - floor to ceiling windows,http://www.loopnet.com/lid/18296911,
Central Bench,13,10,Under New Ownership Major Remodel Underway,2417 West Bank Drive,312,Boise,Idaho,83705     ,23940 SF,2040 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18296911,
Central Bench,13,11,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite 200,Boise,Idaho,83705     ,23940 SF,691 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438, ,http://www.loopnet.com/lid/18296911,
Central Bench,13,12,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite 300,Boise,Idaho,83705     ,23940 SF,898 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18296911,
Central Bench,13,13,Under New Ownership Major Remodel Underway,2417 West Bank Drive,Suite 201,Boise,Idaho,83705     ,23940 SF,2236 SF,Central Bench,Office Building,$1.17 /SF/Mo,$14 /SF/Yr,,Full Service,18296911,DJ Thompson,FIELD UNAVAILABLE,dj.thompson@paccra.com,(208) 287-8438,FIELD UNAVAILABLE,http://www.loopnet.com/lid/18296911,
Central Bench,3,1,Airport Center,3056-3264 W. Elder Street,Building 1 Suite 104,Boise,Idaho,83705     ,10706 SF,2392 SF,Central Bench,Office Building,$1.21 /SF/Mo,$14.50 /SF/Yr,,Full Service,20201871,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/20201871,
Central Bench,3,2,Airport Center,3056-3264 W. Elder Street,Building 3 Suite 101,Boise,Idaho,83705     ,10706 SF,7000 SF,Central Bench,Office Building,$1.21 /SF/Mo,$14.50 /SF/Yr,,Full Service,20201871,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/20201871,
Central Bench,3,3,Airport Center,3056-3264 W. Elder Street,Building 4 Suite 104,Boise,Idaho,83705     ,10706 SF,1314 SF,Central Bench,Office Building,$1.21 /SF/Mo,$14.50 /SF/Yr,,Full Service,20201871,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/20201871,
Central Bench,1,1,,5157-5161 W Overland Rd,Space 1,Boise,Idaho,83705     ,4712 SF,3457 SF,Central Bench,Free Standing Bldg,$1.33 /SF/Mo,$16 /SF/Yr,,NNN,20199987,David Cadwell,Colliers International,david.cadwell@colliers.com,(208) 345-9000 Ext: 705,Space is divisible,http://www.loopnet.com/lid/20199987,
Central Bench,5,1,BOI Office Suites,2399 S Orchard St,105,Boise,Idaho,83705     ,13900 SF,250 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,20191409,Robert Sanchez,COMPANY NAME NOT PRESENT,robert@treehousepropertiesllc.com,(208) 869-2274, ,http://www.loopnet.com/lid/20191409,
Central Bench,5,2,BOI Office Suites,2399 S Orchard St,200,Boise,Idaho,83705     ,13900 SF,1902 SF,Central Bench,Office Building,$0.68 /SF/Mo,$8.20 /SF/Yr,,Full Service,20191409,Robert Sanchez,COMPANY NAME NOT PRESENT,robert@treehousepropertiesllc.com,(208) 869-2274, ,http://www.loopnet.com/lid/20191409,
Central Bench,5,3,BOI Office Suites,2399 S Orchard St,208,Boise,Idaho,83705     ,13900 SF,600 SF,Central Bench,Office Building,$0.79 /SF/Mo,$9.50 /SF/Yr,,Full Service,20191409,Robert Sanchez,COMPANY NAME NOT PRESENT,robert@treehousepropertiesllc.com,(208) 869-2274, ,http://www.loopnet.com/lid/20191409,
Central Bench,5,4,BOI Office Suites,2399 S Orchard St,204,Boise,Idaho,83705     ,13900 SF,1380 SF,Central Bench,Office Building,$0.76 /SF/Mo,$9.13 /SF/Yr,,Full Service,20191409,Robert Sanchez,COMPANY NAME NOT PRESENT,robert@treehousepropertiesllc.com,(208) 869-2274, ,http://www.loopnet.com/lid/20191409,
Central Bench,5,5,BOI Office Suites,2399 S Orchard St,212,Boise,Idaho,83705     ,13900 SF,350 SF,Central Bench,Office Building,$1 /SF/Mo,$12 /SF/Yr,,Full Service,20191409,Robert Sanchez,COMPANY NAME NOT PRESENT,robert@treehousepropertiesllc.com,(208) 869-2274, ,http://www.loopnet.com/lid/20191409,
Central Bench,1,1,Overland Center,6003 W Overland Rd,Suite 102,Boise,Idaho,83709     ,16441 SF,1360 SF,Central Bench,Medical Office,$0.83 /SF/Mo,$10 /SF/Yr,,Modified Gross,20188477,David Vaughan,Silvercreek Realty Group,dasvevaughan2001@gmail.com,(208) 409-5111, ,http://www.loopnet.com/lid/20188477,
Central Bench,1,1,700 - 728 S Vista Ave,724 S Vista Ave,728,Boise,Idaho,83705     ,9609 SF,941 SF,Central Bench,Free Standing Bldg,$0.92 /SF/Mo,$11 /SF/Yr,,Other,20183782,Timothy Sullivan Jr,Michener Investments LLP,tim@michenerinvestments.com,(208) 336-3202, ,http://www.loopnet.com/lid/20183782,
Central Bench,3,1,,4795 W Emerald Street,Suite M,Boise,Idaho,83706     ,14956 SF,1144 SF,Central Bench,Office Building,$0.73 /SF/Mo,$8.75 /SF/Yr,,Modified Gross,18856803,Scott Raeber,Colliers International,scott.raeber@colliers.com,(208) 472-2817, ,http://www.loopnet.com/lid/18856803,
Central Bench,3,2,,4795 W Emerald Street,Suite J,Boise,Idaho,83706     ,14956 SF,1034 SF,Central Bench,Office Building,$0.69 /SF/Mo,$8.25 /SF/Yr,,Modified Gross,18856803,Scott Raeber,Colliers International,scott.raeber@colliers.com,(208) 472-2817, ,http://www.loopnet.com/lid/18856803,
Central Bench,3,3,,4795 W Emerald Street,Suite A,Boise,Idaho,83706     ,14956 SF,3240 SF,Central Bench,Office Building,$0.77 /SF/Mo,$9.25 /SF/Yr,,NNN,18856803,Scott Raeber,Colliers International,scott.raeber@colliers.com,(208) 472-2817,- Free standing building.  
- Open office area private offices conference rooms and break room.  
- Space is occupied contact agent for showing,http://www.loopnet.com/lid/18856803,
Central Bench,5,1,Orchard Plaza,1111 S. Orchard,159,Boise,Idaho,83705     ,48000 SF,671 SF,Central Bench,Office Building,$0.72 /SF/Mo,$8.67 /SF/Yr,,Full Service,19903643,Allison Findlay,Community Real Estate Company,allisonfindlay25@gmail.com,(208) 630-4644, ,http://www.loopnet.com/lid/19903643,
Central Bench,5,2,Orchard Plaza,1111 S. Orchard,177,Boise,Idaho,83705     ,48000 SF,923 SF,Central Bench,Office Building,$0.72 - $0.92 /SF/Mo,$10 - $11 /SF/Yr,,Full Service,19903643,Allison Findlay,Community Real Estate Company,allisonfindlay25@gmail.com,(208) 630-4644, ,http://www.loopnet.com/lid/19903643,
Central Bench,5,3,Orchard Plaza,1111 S. Orchard,213,Boise,Idaho,83705     ,48000 SF,687 SF,Central Bench,Office Building,$0.72 - $0.92 /SF/Mo,$10 - $11 /SF/Yr,,Full Service,19903643,Allison Findlay,Community Real Estate Company,allisonfindlay25@gmail.com,(208) 630-4644, ,http://www.loopnet.com/lid/19903643,
Central Bench,5,4,Orchard Plaza,1111 S. Orchard,232,Boise,Idaho,83705     ,48000 SF,1656 SF,Central Bench,Office Building,$0.72 - $0.92 /SF/Mo,$9 - $11 /SF/Yr,,Full Service,19903643,Allison Findlay,Community Real Estate Company,allisonfindlay25@gmail.com,(208) 630-4644, ,http://www.loopnet.com/lid/19903643,
Central Bench,5,5,Orchard Plaza,1111 S. Orchard,253,Boise,Idaho,83705     ,48000 SF,707 SF,Central Bench,Office Building,$0.79 /SF/Mo,$9.50 /SF/Yr,,Full Service,19903643,Allison Findlay,Community Real Estate Company,allisonfindlay25@gmail.com,(208) 630-4644, ,http://www.loopnet.com/lid/19903643,
Central Bench,4,1,Owyhee Park Plaza,3501 W. Elder Street,200,Boise,Idaho,83705     ,50520 SF,8484 SF,Central Bench,Office Building,Negotiable,Negotiable,,Full Service,15394185,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/15394185,
Central Bench,4,2,Owyhee Park Plaza,3501 W. Elder Street,210,Boise,Idaho,83705     ,50520 SF,8697 SF,Central Bench,Office Building,Negotiable,Negotiable,,Full Service,15394185,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/15394185,
Central Bench,4,3,Owyhee Park Plaza,3501 W. Elder Street,310,Boise,Idaho,83705     ,50520 SF,6255 SF,Central Bench,Office Building,Negotiable,Negotiable,,Full Service,15394185,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/15394185,
Central Bench,4,4,Owyhee Park Plaza,3501 W. Elder Street,302,Boise,Idaho,83705     ,50520 SF,5899 SF,Central Bench,Office Building,Negotiable,Negotiable,,Full Service,15394185,Patrick Shalz,Thornton Oliver Keller,pat@tokcommercial.com,(208) 947-0834, ,http://www.loopnet.com/lid/15394185,
Central Bench,1,1,Boise Office Center (Ware/Flex),7201 Franklin Road,FIELD UNAVAILABLE,Boise,Idaho,83709     ,60228 SF,1851 SF,Central Bench,Flex Space,$0.84 /SF/Mo,$10.09 /SF/Yr,,Full Service,17015764,Charlene VanOstrand,The Sundance Company,charlene@sundanceco.com,(208) 322-7300,FIELD UNAVAILABLE,http://www.loopnet.com/lid/17015764,
Central Bench,5,1,Emerald Station,711 N Curtis Rd,Lot 1,Boise,Idaho,83706     ,,2.51 AC,Central Bench,Retail-Pad (land),Negotiable,Negotiable,, ,16838865,Julie Culver,Hawkins Companies,jculver@hcollc.com,(208) 376-8522 Ext: 5614,Retail/Office Use,http://www.loopnet.com/lid/16838865,
Central Bench,5,2,Emerald Station,711 N Curtis Rd,2,Boise,Idaho,83706     ,,1.74 AC,Central Bench,Retail-Pad (land),Negotiable,Negotiable,, ,16838865,Julie Culver,Hawkins Companies,jculver@hcollc.com,(208) 376-8522 Ext: 5614,Retail/Office Use,http://www.loopnet.com/lid/16838865,
Central Bench,5,3,Emerald Station,711 N Curtis Rd,3,Boise,Idaho,83706     ,,0.98 AC,Central Bench,Retail-Pad (land),Negotiable,Negotiable,, ,16838865,Julie Culver,Hawkins Companies,jculver@hcollc.com,(208) 376-8522 Ext: 5614,Retail/Office Use,http://www.loopnet.com/lid/16838865,
Central Bench,5,4,Emerald Station,711 N Curtis Rd,5,Boise,Idaho,83706     ,,1.64 AC,Central Bench,Retail-Pad (land),Negotiable,Negotiable,, ,16838865,Julie Culver,Hawkins Companies,jculver@hcollc.com,(208) 376-8522 Ext: 5614,Hotel Office Medical Professional Use,http://www.loopnet.com/lid/16838865,
Central Bench,5,5,Emerald Station,711 N Curtis Rd,8,Boise,Idaho,83706     ,,2.17 AC,Central Bench,Retail-Pad (land),Negotiable,Negotiable,, ,16838865,Julie Culver,Hawkins Companies,jculver@hcollc.com,(208) 376-8522 Ext: 5614,Hotel Office Medical Professional Use,http://www.loopnet.com/lid/16838865,
Central Bench,4,1,Airport Plaza,3295 W Elder St,Floor 1,Boise,Idaho,83705     ,43308 SF,10357 SF,Central Bench,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,,Other,20091417,Lew Manglos CCIM SIOR,Colliers International,lew.manglos@colliers.com,(208) 472-2841, ,http://www.loopnet.com/lid/20091417,
Central Bench,4,2,Airport Plaza,3295 W Elder St,Floor 2,Boise,Idaho,83705     ,43308 SF,11154 SF,Central Bench,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,,Other,20091417,Lew Manglos CCIM SIOR,Colliers International,lew.manglos@colliers.com,(208) 472-2841, ,http://www.loopnet.com/lid/20091417,
Central Bench,4,3,Airport Plaza,3295 W Elder St,Floor 3,Boise,Idaho,83705     ,43308 SF,5092 SF,Central Bench,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,,Other,20091417,Lew Manglos CCIM SIOR,Colliers International,lew.manglos@colliers.com,(208) 472-2841, ,http://www.loopnet.com/lid/20091417,
Central Bench,4,4,Airport Plaza,3295 W Elder St,Floor 4,Boise,Idaho,83705     ,43308 SF,11836 SF,Central Bench,Office Building,$1.25 /SF/Mo,$15 /SF/Yr,,Other,20091417,Lew Manglos CCIM SIOR,Colliers International,lew.manglos@colliers.com,(208) 472-2841, ,http://www.loopnet.com/lid/20091417,
Central Bench,4,1,3612 W Overland Rd Boise ID,3612 W Overland Rd,Main Floor,Boise,Idaho,83705     ,7348 SF,2173 SF,Central Bench,Office Building,$0.71 - $1.17 /SF/Mo,$8.50 - $14 /SF/Yr,,Other,20068403,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/20068403,
Central Bench,4,2,3612 W Overland Rd Boise ID,3612 W Overland Rd,2nd Floor,Boise,Idaho,83705     ,7348 SF,2173 SF,Central Bench,Office Building,$0.71 - $1.17 /SF/Mo,$8.50 - $14 /SF/Yr,,Other,20068403,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/20068403,
Central Bench,4,3,3612 W Overland Rd Boise ID,3612 W Overland Rd,Warehouse/Main Level,Boise,Idaho,83705     ,7348 SF,2360 SF,Central Bench,Office Building,$0.71 - $1.17 /SF/Mo,$8.50 - $14 /SF/Yr,,Other,20068403,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/20068403,
Central Bench,4,4,3612 W Overland Rd Boise ID,3612 W Overland Rd,Warehouse/Mezzanine,Boise,Idaho,83705     ,7348 SF,985 SF,Central Bench,Office Building,$0.71 - $1.17 /SF/Mo,$8.50 - $14 /SF/Yr,,Other,20068403,Jamie Anderson,Colliers,jamie.anderson@colliers.com,(208) 472-2842, ,http://www.loopnet.com/lid/20068403,
Central Bench,2,1,Emerald Court Building,4477 W Emerald St,Suite A150,Boise,Idaho,83706     ,19599 SF,1070 SF,Central Bench,Office Building,$1.04 /SF/Mo,$12.50 /SF/Yr,,Full Service,20062873,Arthur Berry,FIELD UNAVAILABLE,resupport@arthurberry.com,(208) 336-8000,Full service lease excludes janitorial.  Janitorial is available for $1.50 PSF.,http://www.loopnet.com/lid/20062873,
